customer_lifetime_value,income,monthly_premium_auto,months_since_last_claim,months_since_policy_inception,number_of_open_complaints,number_of_policies,total_claim_amount,clt_categories,predicted_income,final_income
8026.379641,0,74,15,91,0,2,532.8,Very Low,61846.0,61846.0
4022.963529,0,117,6,1,0,1,975.107098,Very Low,62120.0,62120.0
9618.310865,80536,119,5,83,0,3,53.798708,Very Low,28142.0,80536.0
2274.775451,0,63,2,5,0,1,606.642452,Very Low,39411.0,39411.0
9552.926922,97732,79,0,70,0,2,289.9122,Very Low,21576.0,97732.0
10388.55323,61222,89,20,55,0,2,392.604371,Very Low,67890.0,61222.0
2470.121222,0,74,7,20,0,1,721.242206,Very Low,25030.0,25030.0
5619.068508,50335,140,9,54,0,1,456.52385,Very Low,37530.0,50335.0
9047.119209,0,127,30,11,0,6,1087.995426,Very Low,54507.0,54507.0
6692.143668,63221,168,28,49,0,1,806.4,Very Low,37124.0,63221.0
3731.504584,0,96,31,34,0,1,460.8,Very Low,28463.0,28463.0
3660.770258,64495,92,34,30,0,1,251.992083,Very Low,45281.0,64495.0
7928.829252,0,72,7,75,0,2,345.6,Very Low,22475.0,22475.0
5011.751577,28859,67,24,51,3,4,321.6,Very Low,36014.0,28859.0
7988.258292,77330,99,0,21,0,3,99.257608,Very Low,24191.0,77330.0
3885.456401,0,105,3,92,0,1,504.0,Very Low,56855.0,56855.0
2659.337982,24495,70,29,65,0,1,336.0,Very Low,26840.0,24495.0
8564.768226,95697,107,29,29,0,9,178.006524,Very Low,20396.0,95697.0
4885.162511,26372,126,11,7,0,1,604.8,Very Low,27679.0,26372.0
9753.307106,17514,127,2,5,0,3,8.312729,Very Low,23904.0,17514.0
2946.153697,89270,74,17,90,0,1,316.599228,Very Low,20261.0,89270.0
2581.110945,29757,65,13,55,0,1,312.0,Very Low,26744.0,29757.0
3517.385764,51814,92,28,89,0,1,56.300724,Very Low,21921.0,51814.0
9743.350113,24028,82,14,27,0,2,393.6,Very Low,15142.0,24028.0
3873.647046,28142,105,18,50,0,1,701.708239,Very Low,16101.0,28142.0
7649.28199,52705,64,14,8,1,2,128.705563,Very Low,60021.0,52705.0
2287.59692,0,63,1,5,0,1,679.368378,Very Low,10621.0,10621.0
4475.424592,84903,111,7,63,0,1,497.126827,Very Low,61486.0,84903.0
8714.922135,0,118,14,64,0,4,566.4,Very Low,21171.0,21171.0
2248.449633,24910,63,7,63,1,1,347.857619,Very Low,13610.0,24910.0
7416.197322,0,77,15,12,2,2,554.4,Very Low,36463.0,36463.0
7771.158973,21876,68,12,28,0,2,465.41477,Very Low,30110.0,21876.0
6968.3419,0,69,33,61,1,2,496.8,Very Low,22081.0,22081.0
4250.282624,0,61,17,1,1,7,292.8,Very Low,36706.0,36706.0
19776.56654,70699,82,1,57,0,2,256.813837,Low,29664.0,70699.0
21343.46599,0,74,11,85,1,2,355.2,Low,62365.0,62365.0
2413.139714,27501,63,20,0,0,1,542.319401,Very Low,39429.0,27501.0
15363.84716,15897,101,30,99,0,2,303.148399,Very Low,34498.0,15897.0
8456.961887,25141,73,12,4,1,2,25.438063,Very Low,16552.0,25141.0
2189.642522,0,61,5,46,3,1,292.8,Very Low,26733.0,26733.0
5780.182197,51066,74,23,0,0,8,787.993313,Very Low,43860.0,51066.0
4639.981638,28358,117,24,37,0,1,84.024413,Very Low,13908.0,28358.0
4465.335703,61846,112,1,48,0,1,215.8182,Very Low,18174.0,61846.0
5968.118877,90972,74,3,47,0,8,232.926145,Very Low,60920.0,90972.0
5097.763337,0,74,3,95,0,7,532.8,Very Low,41520.0,41520.0
4076.634665,29549,104,17,51,0,1,710.433775,Very Low,23604.0,29549.0
12252.60179,0,115,12,17,1,2,552.0,Very Low,31739.0,31739.0
16936.27147,39411,217,4,29,2,4,1122.658899,Very Low,66446.0,39411.0
4892.435461,21709,62,28,17,0,3,408.374746,Very Low,37038.0,21709.0
9942.304791,67890,85,23,57,0,2,408.0,Very Low,29834.0,67890.0
3735.838129,0,110,3,16,0,1,792.0,Very Low,40639.0,40639.0
13117.52215,84311,111,11,98,4,2,532.8,Very Low,49988.0,84311.0
4574.524094,99316,114,26,53,0,1,754.358929,Very Low,16269.0,99316.0
5470.060561,54507,138,20,11,0,1,702.990032,Very Low,11698.0,54507.0
2978.84601,64586,76,3,17,0,1,206.837111,Very Low,44320.0,64586.0
6410.967544,61709,82,5,41,2,7,275.395894,Very Low,19782.0,61709.0
4479.023088,94656,111,12,79,1,1,459.738128,Very Low,63933.0,94656.0
2383.731879,0,69,5,40,0,1,496.8,Very Low,28224.0,28224.0
2764.493659,61085,70,27,34,1,1,336.0,Very Low,21073.0,61085.0
7920.105377,89284,67,7,31,3,2,321.6,Very Low,53214.0,89284.0
6889.097981,0,63,6,12,0,2,302.4,Very Low,20993.0,20993.0
3274.194616,31686,81,11,33,0,1,430.994107,Very Low,33402.0,31686.0
9951.707743,56855,255,12,1,0,1,1836.0,Very Low,39161.0,56855.0
2521.555686,53703,67,3,45,2,1,67.632476,Very Low,27443.0,53703.0
23706.11337,0,96,12,35,1,2,844.481918,Low,65186.0,65186.0
6047.02516,20396,76,15,60,1,4,364.8,Very Low,30110.0,20396.0
11140.30248,27679,150,30,28,0,3,722.486994,Very Low,21708.0,27679.0
4334.064096,23904,123,1,67,3,1,590.4,Very Low,31614.0,23904.0
2799.74791,65351,69,4,54,0,1,481.027516,Very Low,32375.0,65351.0
7923.136624,0,113,20,1,0,7,1124.427734,Very Low,12964.0,12964.0
3688.110888,0,63,0,54,3,7,669.682001,Very Low,22971.0,22971.0
12067.45599,0,116,14,35,0,2,1284.093173,Very Low,28343.0,28343.0
2924.976721,64459,72,16,64,0,1,240.259479,Very Low,20046.0,64459.0
15014.0927,32961,190,13,53,0,3,912.0,Very Low,17932.0,32961.0
9277.233839,71416,116,10,0,0,3,556.8,Very Low,32180.0,71416.0
6274.123875,68964,78,15,6,0,3,115.086827,Very Low,26583.0,68964.0
3886.647414,78108,98,12,34,0,1,470.4,Very Low,25486.0,78108.0
4386.277558,10621,67,28,22,0,5,321.6,Very Low,24065.0,10621.0
11365.26766,84910,95,4,69,0,2,383.167471,Very Low,13154.0,84910.0
5610.96434,77493,70,2,35,0,3,307.963291,Very Low,25407.0,77493.0
2912.892035,81097,74,7,67,0,1,355.2,Very Low,19064.0,81097.0
6915.729915,96610,85,6,23,0,3,520.364752,Very Low,20371.0,96610.0
6262.663307,30110,159,20,71,0,1,466.436375,Very Low,44986.0,30110.0
6503.397049,22081,84,1,9,0,6,451.670309,Very Low,49311.0,22081.0
8007.399376,0,112,12,93,0,3,537.6,Very Low,46061.0,46061.0
2929.916512,98473,72,19,69,0,1,345.6,Very Low,39841.0,98473.0
5969.55297,97431,74,1,72,0,3,355.2,Very Low,32607.0,97431.0
5473.15987,93870,69,1,96,0,8,331.2,Very Low,21706.0,93870.0
5645.396665,50366,72,9,5,0,9,428.734656,Very Low,26488.0,50366.0
6369.262355,34498,83,30,72,0,7,398.4,Very Low,26049.0,34498.0
11833.76732,16552,103,23,53,0,2,494.4,Very Low,20992.0,16552.0
6121.107929,26787,77,7,50,0,5,369.6,Very Low,12470.0,26787.0
5159.369746,0,74,2,42,0,9,831.752839,Very Low,41770.0,41770.0
2514.59196,43860,65,15,58,0,1,156.124914,Very Low,19581.0,43860.0
8668.611261,21474,114,13,72,2,9,373.428187,Very Low,28909.0,21474.0
4960.965384,18174,66,8,16,0,9,395.934815,Very Low,19683.0,18174.0
5504.139033,0,73,18,45,0,5,350.4,Very Low,19066.0,19066.0
7507.455372,60920,64,10,61,0,2,231.201886,Very Low,26367.0,60920.0
32269.85139,41520,90,18,70,0,2,289.904105,Low,63774.0,41520.0
5657.031588,0,152,12,89,0,1,729.6,Very Low,25134.0,25134.0
5061.757902,0,68,19,16,0,8,326.4,Very Low,37057.0,37057.0
5912.783829,72208,73,3,84,0,8,350.4,Very Low,58577.0,72208.0
15182.27975,53863,63,12,30,0,2,105.765111,Very Low,38684.0,53863.0
10747.03094,66446,136,8,77,0,3,639.464548,Very Low,37970.0,66446.0
2050.623512,0,61,18,26,0,1,292.8,Very Low,12876.0,12876.0
2465.444865,64997,63,7,99,1,1,383.442328,Very Low,85140.0,64997.0
5343.121327,64460,66,18,42,0,3,316.8,Very Low,60068.0,64460.0
8119.829071,46618,67,22,77,0,2,99.085943,Very Low,50044.0,46618.0
4605.265164,0,64,13,64,0,4,307.2,Very Low,36650.0,36650.0
6408.785577,49988,84,6,37,5,5,566.935022,Very Low,32510.0,49988.0
2376.533508,0,91,2,8,5,1,436.8,Very Low,68931.0,68931.0
3211.070017,16269,86,6,84,0,1,412.8,Very Low,24589.0,16269.0
5094.522262,72006,64,4,38,0,3,307.2,Very Low,40864.0,72006.0
25755.27817,0,81,3,60,2,2,388.8,Low,79751.0,79751.0
8672.229719,0,245,34,83,0,1,2345.413441,Very Low,33232.0,33232.0
8044.73072,44320,67,13,79,0,2,321.6,Very Low,24506.0,44320.0
4001.519098,19782,108,13,66,0,1,773.470977,Very Low,28406.0,19782.0
16706.11699,63933,70,35,98,0,2,424.883448,Very Low,34137.0,63933.0
8544.411077,28224,109,13,13,0,8,523.2,Very Low,31530.0,28224.0
7805.31287,21073,106,25,54,1,3,508.8,Very Low,43072.0,21073.0
6112.756868,63243,77,21,73,0,3,364.240307,Very Low,53690.0,63243.0
4772.943848,20993,133,35,90,0,1,638.4,Very Low,74454.0,20993.0
10979.09559,94827,135,5,64,0,4,354.729129,Very Low,29664.0,94827.0
5004.263818,39161,63,18,83,1,4,283.995953,Very Low,15680.0,39161.0
13223.04379,37534,84,2,0,2,2,403.2,Very Low,31991.0,37534.0
2623.31543,80210,65,30,28,0,1,20.543176,Very Low,21585.0,80210.0
17840.19555,0,62,32,59,0,2,385.115437,Very Low,13207.0,13207.0
5106.111827,30110,64,2,4,0,5,140.165035,Very Low,69906.0,30110.0
17930.60451,21708,68,28,77,0,2,326.4,Very Low,23105.0,21708.0
5457.342569,94731,67,23,65,0,4,321.6,Very Low,29250.0,94731.0
6563.644143,32375,83,17,83,0,6,398.4,Very Low,44369.0,32375.0
4812.525221,16531,63,0,40,0,4,102.879769,Very Low,37473.0,16531.0
29328.04185,32006,94,28,7,0,2,56.868289,Low,35625.0,32006.0
5773.520711,81676,72,21,86,0,8,463.158502,Very Low,29735.0,81676.0
6847.1189,71038,86,15,56,0,3,205.444066,Very Low,23082.0,71038.0
3595.31286,0,103,20,43,0,1,741.6,Very Low,38821.0,38821.0
22855.61209,20832,65,8,32,0,2,56.371967,Low,52135.0,20832.0
7859.414569,0,113,19,10,0,7,813.6,Very Low,17576.0,17576.0
4115.577437,52405,103,2,27,0,1,494.4,Very Low,29486.0,52405.0
5029.638777,0,133,3,89,0,1,795.864079,Very Low,58557.0,58557.0
4821.418454,26583,128,6,46,4,1,614.4,Very Low,25632.0,26583.0
5004.310469,25486,65,15,53,0,3,72.438681,Very Low,18768.0,25486.0
8630.053943,24065,111,30,1,0,5,532.8,Very Low,33190.0,24065.0
9322.08512,70435,116,0,50,0,4,67.881546,Very Low,24031.0,70435.0
16727.56063,0,76,33,36,2,2,402.636829,Very Low,28311.0,28311.0
3652.532435,39679,92,2,85,0,1,641.388616,Very Low,15192.0,39679.0
6158.601171,0,89,13,45,0,5,342.481173,Very Low,21665.0,21665.0
4376.083958,0,69,21,70,4,3,331.2,Very Low,22726.0,22726.0
5569.456156,53565,71,27,34,1,6,340.8,Very Low,21604.0,53565.0
2576.513006,37574,66,19,14,1,1,412.101933,Very Low,28140.0,37574.0
8346.983233,48259,108,14,79,0,3,73.700573,Very Low,76731.0,48259.0
6323.923864,78532,78,25,87,0,3,374.4,Very Low,65186.0,78532.0
5973.14343,96163,73,23,90,0,3,350.4,Very Low,25852.0,96163.0
4706.676993,0,72,0,86,0,7,345.6,Very Low,58089.0,58089.0
8093.410258,0,114,9,72,1,5,722.024742,Very Low,20587.0,20587.0
5035.744643,72672,63,7,39,0,5,259.361117,Very Low,33837.0,72672.0
9027.867218,99002,112,33,75,1,8,537.6,Very Low,23712.0,99002.0
7288.884849,79494,91,19,30,0,3,396.295614,Very Low,28142.0,79494.0
18042.47942,35704,225,21,35,0,8,358.281562,Very Low,39034.0,35704.0
4992.063043,0,71,6,5,0,3,653.388564,Very Low,29730.0,29730.0
9102.267849,26049,118,17,6,0,6,121.032372,Very Low,28919.0,26049.0
2540.407726,70125,64,21,77,0,1,92.813396,Very Low,64125.0,70125.0
12941.89193,52369,110,34,49,1,2,528.0,Very Low,13129.0,52369.0
2365.348601,0,66,25,51,2,1,159.636956,Very Low,25899.0,25899.0
5720.765064,41770,72,0,60,0,9,476.156957,Very Low,33897.0,41770.0
7035.534088,0,101,16,88,0,8,727.2,Very Low,59207.0,59207.0
2636.97773,31911,67,33,27,0,1,321.6,Very Low,20848.0,31911.0
5395.831967,70051,68,15,69,0,8,42.078345,Very Low,67798.0,70051.0
8382.630118,19683,117,17,41,1,9,561.6,Very Low,21665.0,19683.0
31161.74523,30916,112,7,65,0,2,200.11606,Low,28013.0,30916.0
2887.742258,0,80,24,95,0,1,676.944023,Very Low,20228.0,20228.0
8714.922135,0,118,14,64,0,4,566.4,Very Low,22594.0,22594.0
25585.72783,0,116,0,45,0,2,830.623064,Low,20090.0,20090.0
10272.6082,60145,132,8,28,0,3,580.473259,Very Low,24378.0,60145.0
4376.363592,63774,111,18,63,0,1,60.036683,Very Low,18577.0,63774.0
5318.89664,25134,67,3,0,0,6,321.6,Very Low,71661.0,25134.0
4719.762191,37057,61,5,48,1,6,47.53101,Very Low,18577.0,37057.0
4428.031583,58577,110,6,62,0,1,303.872752,Very Low,16656.0,58577.0
5879.176092,85857,73,3,19,0,6,100.620067,Very Low,17483.0,85857.0
9416.908485,70602,116,8,47,0,3,481.339891,Very Low,83220.0,70602.0
8288.155579,33816,106,10,97,2,3,508.8,Very Low,26378.0,33816.0
32654.8383,0,153,7,75,0,2,1101.6,Low,28647.0,28647.0
4719.450052,89642,121,11,20,4,1,86.320022,Very Low,16869.0,89642.0
3903.474784,60068,98,17,75,0,1,470.4,Very Low,58327.0,60068.0
5457.259678,50044,139,16,14,0,1,667.2,Very Low,25950.0,50044.0
2725.356404,36650,69,2,70,1,1,56.60333,Very Low,20993.0,36650.0
4433.97368,50653,110,29,42,0,1,262.865172,Very Low,14909.0,50653.0
5332.462694,68931,66,32,30,0,7,309.577946,Very Low,28995.0,68931.0
2315.094985,0,73,14,39,1,1,350.4,Very Low,58842.0,58842.0
5411.953687,0,73,1,22,0,5,365.364581,Very Low,25629.0,25629.0
9587.33234,39266,80,33,31,0,2,384.0,Very Low,48567.0,39266.0
22103.5072,0,102,35,48,0,2,489.6,Low,23158.0,23158.0
9764.945308,0,98,24,11,1,2,705.6,Very Low,22254.0,22254.0
2567.151468,40864,65,2,75,0,1,9.51528,Very Low,64125.0,40864.0
2650.622781,39035,68,15,65,0,1,244.564334,Very Low,17161.0,39035.0
11264.36334,34923,98,23,82,0,2,639.105556,Very Low,18820.0,34923.0
2168.523464,0,63,1,56,0,1,453.6,Very Low,25398.0,25398.0
8610.667489,0,111,27,36,0,9,532.8,Very Low,15142.0,15142.0
2834.646235,24506,71,7,47,0,1,511.2,Very Low,68798.0,24506.0
8930.139728,0,82,25,63,0,2,554.522969,Very Low,16049.0,16049.0
5536.386959,52220,70,17,42,1,5,336.0,Very Low,13129.0,52220.0
2840.85429,0,74,17,73,0,1,402.449823,Very Low,38821.0,38821.0
8082.880956,53554,67,6,5,0,2,327.020539,Very Low,25564.0,53554.0
5254.734278,34476,67,23,49,1,3,5.3953,Very Low,29926.0,34476.0
5116.237577,0,70,1,11,0,5,131.401291,Very Low,21450.0,21450.0
3034.646997,68205,76,35,14,0,1,99.382943,Very Low,33345.0,68205.0
8024.89992,0,119,6,48,1,8,856.8,Very Low,15752.0,15752.0
18211.14319,53690,154,20,97,0,2,739.2,Low,17622.0,53690.0
5121.563312,0,72,2,22,0,5,518.4,Very Low,26049.0,26049.0
2150.178588,0,61,28,31,0,1,292.8,Very Low,47606.0,47606.0
5595.389905,74454,71,25,29,0,3,340.8,Very Low,26790.0,74454.0
7562.824036,0,73,23,91,0,2,350.4,Very Low,33651.0,33651.0
5385.853211,29664,71,1,69,0,3,340.8,Very Low,53807.0,29664.0
4718.558501,15680,64,20,29,0,8,260.879903,Very Low,22350.0,15680.0
9422.567923,47272,79,17,17,3,2,64.546877,Very Low,55986.0,47272.0
3605.860265,21585,92,35,61,0,1,441.6,Very Low,23692.0,21585.0
7762.590564,23827,106,18,77,2,3,37.910623,Very Low,29242.0,23827.0
23444.90045,69906,74,34,32,2,2,202.860399,Low,18150.0,69906.0
2558.178159,0,72,7,77,0,1,345.6,Very Low,32390.0,32390.0
5123.170887,89879,63,17,20,0,3,94.030308,Very Low,39669.0,89879.0
2537.744494,0,69,9,89,0,1,331.2,Very Low,76358.0,76358.0
2969.593296,46131,74,27,28,0,1,355.2,Very Low,43860.0,46131.0
4363.124641,54514,109,5,36,3,1,286.234931,Very Low,55350.0,54514.0
5884.308607,0,161,29,1,0,1,1159.2,Very Low,12964.0,12964.0
5272.191556,96668,66,2,95,0,3,316.8,Very Low,33288.0,96668.0
5509.895664,78879,69,9,67,1,4,466.570791,Very Low,33243.0,78879.0
16313.68349,0,69,21,86,0,2,331.2,Very Low,23105.0,23105.0
5678.050167,0,76,8,44,0,3,364.8,Very Low,29444.0,29444.0
